2025-08-02T19:26:32.804779,-0.3237,-0.5964,0.5508,18.08
2025-08-02T19:26:32.871433,-0.2981,-0.0989,1.0701,18.08
2025-08-02T19:26:32.938751,-0.3264,-0.2708,0.9331,18.04
2025-08-02T19:26:33.006737,-0.3806,-0.5627,0.7078,18.08
2025-08-02T19:26:33.073531,-0.3398,-0.3503,0.8767,18.13
2025-08-02T19:26:33.141284,-0.3237,-0.2498,0.9597,18.13
2025-08-02T19:26:33.208004,-0.3320,-0.3335,0.8750,18.04
2025-08-02T19:26:33.275351,-0.3257,-0.2915,0.9036,17.99
2025-08-02T19:26:33.342426,-0.3311,-0.2681,0.9243,18.04
2025-08-02T19:26:33.416571,-0.3516,-0.3235,0.8845,18.04
2025-08-02T19:26:33.484320,-0.3542,-0.3679,0.8462,18.08
2025-08-02T19:26:33.552385,-0.3743,-0.4099,0.8313,18.08
2025-08-02T19:26:33.619411,-0.3386,-0.3354,0.8572,18.08
2025-08-02T19:26:33.686962,-0.3357,-0.3208,0.8855,18.08
2025-08-02T19:26:33.753701,-0.3381,-0.3455,0.8694,18.08
2025-08-02T19:26:33.821214,-0.3423,-0.3369,0.8701,18.13
2025-08-02T19:26:33.889376,-0.3591,-0.3706,0.8528,18.08
2025-08-02T19:26:33.957767,-0.3342,-0.3447,0.8574,18.08
2025-08-02T19:26:34.027271,-0.3284,-0.3386,0.8630,18.08
2025-08-02T19:26:34.094820,-0.3337,-0.2896,0.9150,18.08
2025-08-02T19:26:34.161541,-0.3389,-0.3091,0.9185,18.18
2025-08-02T19:26:34.231866,-0.2161,-0.6396,0.6357,18.08
2025-08-02T19:26:34.298655,-0.3945,-0.6775,0.6091,17.99
2025-08-02T19:26:34.365886,-0.3735,-0.5803,0.6919,18.08
2025-08-02T19:26:34.432664,-0.3782,-0.5798,0.7063,17.99
2025-08-02T19:26:34.500047,-0.3760,-0.5698,0.7168,17.99
2025-08-02T19:26:34.569456,-0.3784,-0.5566,0.7170,18.13
2025-08-02T19:26:34.637518,-0.3721,-0.5627,0.7288,18.08
2025-08-02T19:26:34.704632,-0.3782,-0.5747,0.7280,18.18
2025-08-02T19:26:34.772108,-0.3752,-0.5623,0.7268,18.08
2025-08-02T19:26:34.838924,-0.3833,-0.5598,0.7161,18.08
2025-08-02T19:26:34.906607,-0.3784,-0.5649,0.7209,17.99
